Release Date,Time,Actual,Forecast,Previous,
"Apr 30, 2016 (Apr)",21:00,50.1,50.4,50.2,
"Mar 31, 2016 (Mar)",21:00,50.2,49.3,49.0,
"Feb 29, 2016 (Feb)",21:00,49.0,49.3,49.4,
"Jan 31, 2016 (Jan)",21:00,49.4,49.6,49.7,
"Dec 31, 2015 (Dec)",21:00,49.7,49.7,49.6,
"Nov 30, 2015 (Nov)",21:00,49.6,49.8,49.8,
"Oct 31, 2015 (Oct)",21:00,49.8,50.0,49.8,
"Sep 30, 2015 (Sep)",21:00,49.8,49.6,49.7,
"Aug 31, 2015 (Aug)",21:00,49.7,49.7,50.0,
"Jul 31, 2015 (Jul)",21:00,50.0,50.2,50.2,
"Jun 30, 2015 (Jun)",21:00,50.2,50.3,50.2,
"May 31, 2015 (May)",21:00,50.2,50.2,50.1,
"Apr 30, 2015 (Apr)",21:00,50.1,50.0,50.1,
"Mar 31, 2015 (Mar)",21:00,50.1,49.7,49.9,
"Feb 28, 2015 (Feb)",21:00,49.9,49.7,49.8,
"Jan 31, 2015 (Jan)",21:00,49.8,50.2,50.1,
"Dec 31, 2014 (Dec)",21:00,50.1,50.1,50.3,
"Nov 30, 2014 (Nov)",21:00,50.3,50.5,50.8,
"Oct 31, 2014 (Oct)",21:00,50.8,51.2,51.1,
"Sep 30, 2014 (Sep)",21:00,51.1,51.0,51.1,
"Aug 31, 2014",21:00,51.1,51.2,51.7,
"Jul 31, 2014",21:00,51.7,51.4,51.0,
"Jun 30, 2014",21:00,51.0,51.0,50.8,
"May 31, 2014",21:00,50.8,50.6,50.4,
"Apr 30, 2014",21:00,50.4,50.5,50.3,
"Mar 31, 2014",21:00,50.3,50.3,50.2,
"Feb 28, 2014",21:00,50.2,50.1,50.5,
"Jan 31, 2014",21:00,50.5,50.5,51.0,
"Dec 31, 2013",21:00,51.0,51.2,51.4,
"Nov 30, 2013",21:00,51.4,51.1,51.4,
"Oct 31, 2013",21:00,51.4,51.2,51.1,
"Sep 30, 2013",21:00,51.1,51.5,51.0,
"Aug 31, 2013",21:00,51.0,50.6,50.3,
"Jul 31, 2013",21:00,50.3,49.9,50.1,
"Jun 30, 2013",21:00,50.10,50.00,50.80,
"May 31, 2013",21:00,50.80,50.10,50.60,
"Apr 30, 2013",21:00,50.60,51.00,50.90,
"Mar 31, 2013",21:00,50.90,52.00,50.10,
"Feb 28, 2013",21:00,50.10,50.20,50.40,
"Jan 31, 2013",21:00,50.40,50.90,50.60,
"Dec 31, 2012",21:00,50.60,51.00,50.60,
"Nov 30, 2012",21:00,50.60,50.60,50.20,
"Oct 31, 2012",21:00,50.20,50.30,49.80,
"Sep 30, 2012",21:00,49.80,49.80,49.20,
"Aug 31, 2012",21:00,49.20,50.00,50.10,
"Jul 31, 2012",21:00,50.10,50.30,50.20,
"Jun 30, 2012",21:00,50.20,49.80,50.40,
"May 31, 2012",21:00,50.40,52.20,53.30,
"Apr 30, 2012",21:00,53.30,53.60,53.10,
"Mar 31, 2012",21:00,53.10,51.00,51.00,
"Mar 01, 2012 (Feb)",05:00,51.00, ,50.50,
"Feb 01, 2012 (Jan)",05:00,50.50, ,50.30,
"Jan 01, 2012 (Dec)",05:00,50.30, ,49.00,
"Dec 01, 2011 (Nov)",05:00,49.00, ,50.40,
"Nov 01, 2011 (Oct)",05:00,50.40, ,51.20,
"Oct 01, 2011 (Sep)",05:00,51.20, ,50.90,
"Sep 01, 2011 (Aug)",05:00,50.90, ,50.70,
"Aug 01, 2011 (Jul)",05:00,50.70, ,50.90,
"Jul 01, 2011 (Jun)",05:00,50.90, ,52.00,
"Jun 01, 2011 (May)",05:00,52.00, ,52.90,
"May 01, 2011 (Apr)",05:00,52.90, ,53.40,
"Apr 01, 2011 (Mar)",05:00,53.40, ,52.20,
"Mar 01, 2011 (Feb)",05:00,52.20, ,52.90,
"Feb 01, 2011 (Jan)",05:00,52.90, ,53.90,
"Jan 01, 2011 (Dec)",05:00,53.90, ,55.20,
"Dec 01, 2010 (Nov)",05:00,55.20, ,54.70,
"Nov 01, 2010 (Oct)",05:00,54.70, ,53.80,
"Oct 01, 2010 (Sep)",05:00,53.80, ,51.70,
"Sep 01, 2010 (Aug)",05:00,51.70, ,51.20,
"Aug 01, 2010 (Jul)",05:00,51.20, ,52.10,
"Jul 01, 2010 (Jun)",05:00,52.10, ,53.90,
"Jun 01, 2010 (May)",05:00,53.90, ,55.70,
"May 01, 2010 (Apr)",05:00,55.70, ,55.10,
"Apr 01, 2010 (Mar)",05:00,55.10, ,52.00,
"Mar 01, 2010 (Feb)",05:00,52.00, ,55.80,
"Feb 01, 2010 (Jan)",05:00,55.80, ,56.60,
"Jan 01, 2010 (Dec)",05:00,56.60, ,55.20,
"Dec 01, 2009 (Nov)",05:00,55.20, ,55.20,
"Nov 01, 2009 (Oct)",05:00,55.20, ,54.30,
"Oct 01, 2009 (Sep)",05:00,54.30, ,54.00,
"Sep 01, 2009 (Aug)",05:00,54.00, ,53.30,
"Aug 01, 2009 (Jul)",05:00,53.30, ,53.20,
"Jul 01, 2009 (Jun)",05:00,53.20, ,53.10,
"Jun 01, 2009 (May)",05:00,53.10, ,53.50,
"May 01, 2009 (Apr)",05:00,53.50, ,52.40,
"Apr 01, 2009 (Mar)",05:00,52.40, ,49.00,
"Mar 01, 2009 (Feb)",05:00,49.00, ,45.30,
"Feb 01, 2009 (Jan)",05:00,45.30, ,41.20,
"Jan 01, 2009 (Dec)",05:00,41.20, ,38.80,
"Dec 01, 2008 (Nov)",05:00,38.80, ,44.60,
"Nov 01, 2008 (Oct)",05:00,44.60, ,51.20,
"Oct 01, 2008 (Sep)",05:00,51.20, ,48.40,
"Sep 01, 2008 (Aug)",05:00,48.40, ,48.40,
"Aug 01, 2008 (Jul)",05:00,48.40, ,52.00,
"Jul 01, 2008 (Jun)",05:00,52.00, ,53.30,
"Jun 01, 2008 (May)",05:00,53.30, ,59.20,
"May 01, 2008 (Apr)",05:00,59.20, ,58.40,
"Apr 01, 2008 (Mar)",05:00,58.40, ,53.40,
"Mar 01, 2008 (Feb)",05:00,53.40, ,53.00,
"Feb 01, 2008 (Jan)",05:00,53.00, ,55.30,
"Jan 01, 2008 (Dec)",05:00,55.30, ,55.40,
"Dec 01, 2007 (Nov)",05:00,55.40, ,53.20,
"Nov 01, 2007 (Oct)",05:00,53.20, ,56.10,
"Oct 01, 2007 (Sep)",05:00,56.10, ,54.00,
"Sep 01, 2007 (Aug)",05:00,54.00, ,53.30,
"Aug 01, 2007 (Jul)",05:00,53.30, ,54.50,
"Jul 01, 2007 (Jun)",05:00,54.50, ,55.70,
"Jun 01, 2007 (May)",05:00,55.70, ,58.60,
"May 01, 2007 (Apr)",05:00,58.60, ,56.10,
"Apr 01, 2007 (Mar)",05:00,56.10, ,53.10,
"Mar 01, 2007 (Feb)",05:00,53.10, ,55.10,
"Feb 01, 2007 (Jan)",05:00,55.10, ,54.80,
"Jan 01, 2007 (Dec)",05:00,54.80, ,55.30,
"Dec 01, 2006 (Nov)",05:00,55.30, ,54.70,
"Nov 01, 2006 (Oct)",05:00,54.70, ,57.00,
"Oct 01, 2006 (Sep)",05:00,57.00, ,53.10,
"Sep 01, 2006 (Aug)",05:00,53.10, ,52.40,
"Aug 01, 2006 (Jul)",05:00,52.40, ,54.10,
"Jul 01, 2006 (Jun)",05:00,54.10, ,54.80,
"Jun 01, 2006 (May)",05:00,54.80, ,58.10,
"May 01, 2006 (Apr)",05:00,58.10, ,55.30,
"Apr 01, 2006 (Mar)",05:00,55.30, ,52.10,
"Mar 01, 2006 (Feb)",05:00,52.10, ,52.10,
"Feb 01, 2006 (Jan)",05:00,52.10, ,54.30,
"Jan 01, 2006 (Dec)",05:00,54.30, ,54.10,
"Dec 01, 2005 (Nov)",05:00,54.10, ,54.10,
"Nov 01, 2005 (Oct)",05:00,54.10, ,55.10,
"Oct 01, 2005 (Sep)",05:00,55.10, ,52.60,
"Sep 01, 2005 (Aug)",05:00,52.60, ,51.10,
"Aug 01, 2005 (Jul)",05:00,51.10, ,51.70,
"Jul 01, 2005 (Jun)",05:00,51.70, ,52.90,
"Jun 01, 2005 (May)",05:00,52.90, ,56.70,
"May 01, 2005 (Apr)",05:00,56.70, ,57.90,
"Apr 01, 2005 (Mar)",05:00,57.90, ,54.50,
"Mar 01, 2005 (Feb)",05:00,54.50, ,54.70,
"Feb 01, 2005 (Jan)",05:00,54.70, , ,
